time,N1
16.6,1245.53
16.65,1246.94
16.7,1248.35
16.75,1249.76
16.8,1251.17
16.85,1252.58
16.9,1253.99
16.95,1255.4
17,1256.8
17.05,1258.21
17.1,1259.62
17.15,1261.03
17.2,1262.44
17.25,1263.85
17.3,1265.26
17.35,1266.67
17.4,1268.07
17.45,1269.48
17.5,1270.89
17.55,1272.3
17.6,1273.71
17.65,1275.12
17.7,1276.53
17.75,1277.94
17.8,1279.34
17.85,1280.75
17.9,1282.16
17.95,1283.57
18,1284.98
18.05,1286.39
18.1,1287.8
18.15,1289.21
18.2,1290.61
18.25,1292.02
18.3,1293.43
18.35,1294.84
18.4,1296.25
18.45,1297.66
18.5,1299.07
18.55,1300.48
18.6,1301.88
18.65,1303.29
18.7,1304.7
18.75,1306.11
18.8,1307.52
18.85,1308.93
18.9,1310.34
18.95,1311.75
19,1313.15
19.05,1314.56
19.1,1315.97
19.15,1317.38
19.2,1318.79
19.25,1320.2
19.3,1321.61
19.35,1323.02
19.4,1324.42
19.45,1325.83
19.5,1327.24
19.55,1328.65
19.6,1330.06
19.65,1331.47
19.7,1332.88
19.75,1334.29
19.8,1335.69
19.85,1337.1
19.9,1338.51
19.95,1339.92
20,1341.33
20.05,1342.74
20.1,1344.15
20.15,1345.55
20.2,1346.96
20.25,1348.37
20.3,1349.78
20.35,1351.19
20.4,1352.6
20.45,1354.01
20.5,1355.42
20.55,1356.82
20.6,1358.23
20.65,1359.64
20.7,1361.05
20.75,1362.46
20.8,1363.87
20.85,1365.28
20.9,1366.69
20.95,1368.09
21,1369.5
21.05,1370.91
21.1,1372.32
21.15,1373.73
21.2,1375.14
21.25,1376.55
21.3,1377.96
21.35,1379.36
21.4,1380.77
21.45,1382.18
21.5,1383.59
21.55,1385
21.6,1386.41
21.65,1387.82
21.7,1389.22
21.75,1390.63
21.8,1392.04
21.85,1393.45
21.9,1394.86
21.95,1396.27
22,1397.68
22.05,1399.09
22.1,1400.49
22.15,1401.9
22.2,1403.31
22.25,1404.72
22.3,1406.13
